figure,config,environment,size,variant,iteration,iqm,ci_low,ci_high,reps
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,401,0.9880737566900953,0.9857478585142229,0.994342456730231,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,411,0.9894760143527024,0.9854024332373532,0.9930102225143193,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,421,0.9915174557467847,0.9869958558736368,0.9945806029502844,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,431,0.9884172237946847,0.9856418634002017,0.9910333114753948,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,441,0.9909663039826747,0.9889773447251656,0.9938958232977889,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,451,0.9912528040130207,0.9887257139154055,0.9934506276544073,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,461,0.9902342339733337,0.9881776589277331,0.9924529970130896,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,471,0.9905302668003776,0.9878270213110355,0.9912522020983697,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,481,0.9926435118622255,0.9902419071444375,0.9946126504743912,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,491,0.9875128948870461,0.9845694719815671,0.9914541483630909,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim32,500,0.9895947312058243,0.9875318839117938,0.9918986045518424,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim4,1,0.09240635692257836,0.07299585296119228,0.11535957312831176,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim4,11,0.18078152765595268,0.14714078013319906,0.27029281831922036,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim4,21,0.5861614512988326,0.3316100580684008,0.7809723744443579,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim4,31,0.9412407089315877,0.7827034157553285,0.9657423842529008,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim4,41,0.958784630895351,0.8495671182258736,0.9673985045595687,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim4,51,0.9720906511709645,0.8562739419439693,0.9799967731702958,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim4,61,0.9783359871388719,0.8834181246744582,0.98146080897054,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim4,71,0.9751422464341551,0.8963426629296004,0.9819605555219338,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim4,81,0.9798404972683362,0.9266062694020611,0.9841210001926001,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim4,91,0.9820375998882858,0.9505020541744766,0.986165432726744,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim4,101,0.9828721322192976,0.9659025367971589,0.9914885815677635,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim4,111,0.9818839422087126,0.96312533166543,0.9903900511723731,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim4,121,0.9831874291510475,0.9752396899645254,0.988606586569253,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim4,131,0.9804595569157512,0.9772361763455315,0.9866509041880355,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim4,141,0.9827449970686898,0.9716529861959248,0.986847955731025,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim4,151,0.9857026893925194,0.9776140901252038,0.987373074154755,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim4,161,0.9829611829750649,0.978002680977483,0.9910285337335423,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim4,171,0.9884278576201847,0.9838863853469592,0.9912459780598296,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim4,181,0.9888099890562274,0.9831179154530377,0.9915420307380045,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim4,191,0.9825616413881585,0.9781682174320583,0.988937645299024,2000
fig_6_1_embedding,embedding_scaling_rendezvous_4agents_ppo,rendezvous,4,embed_dim4,201,0.9862302190196979,0.9742947576953154,0.988730110940924,2000
