variant,run,test_size,ep_reward,mean_pairwise_distance,max_pairwise_distance,distance_to_com,min_distance_to_evader,capture_time,ep_length,converged,train_size
phi2_w128,5,8,-227.6002912490815,,,,4.2338750004768375,401.0,1017.77,0.01,4
phi2_w128,5,16,-228.37928253218533,,,,8.35121771812439,,1024.0,0.0,4
phi2_w128,5,32,-195.1146754284203,,,,8.086022944450379,,1024.0,0.0,4
phi2_w128,5,50,-142.86732240397484,,,,5.721182441711425,148.0,1006.48,0.02,4
phi2_w128,5,100,-89.48918644998223,,,,4.068315091759268,131.1578947368421,854.36,0.19,4
phi2_w32,1,4,-345.98242291854694,,,,12.042219200134276,446.07142857142856,700.36,0.56,4
phi2_w32,1,8,-277.31289569895716,,,,10.194310345649718,,1024.0,0.0,4
phi2_w32,1,16,-166.46351773532106,,,,6.3023635458946226,380.05555555555554,792.18,0.36,4
phi2_w32,1,32,-30.938130835788325,,,,3.0973447370529175,136.64948453608247,163.27,0.97,4
phi2_w32,1,50,-10.640989821041003,,,,2.9954475736618043,69.38,69.38,1.0,4
phi2_w32,1,100,-2.5775015033222735,,,,2.964666633605957,23.48,23.48,1.0,4
phi2_w32,2,4,-111.51150600564667,,,,2.5663233828544616,257.56,257.56,1.0,4
phi2_w32,2,8,-52.842668019868434,,,,2.8527235651016234,194.69,194.69,1.0,4
phi2_w32,2,16,-33.84843386070803,,,,2.6999751830101015,187.6,187.6,1.0,4
phi2_w32,2,32,-19.697375435968862,,,,2.75501455783844,147.36,147.36,1.0,4
phi2_w32,2,50,-8.973166932482272,,,,2.903692169189453,74.48,74.48,1.0,4
phi2_w32,2,100,-2.6452109833015127,,,,2.927283684412638,24.9,24.9,1.0,4
phi2_w32,3,4,-104.74819417154417,,,,2.7559820771217347,318.09,318.09,1.0,4
phi2_w32,3,8,-80.0261701368168,,,,2.4652760457992553,459.8181818181818,465.46,0.99,4
phi2_w32,3,16,-77.35947453388944,,,,2.292431287765503,549.4285714285714,625.36,0.84,4
phi2_w32,3,32,-48.59478807002655,,,,2.557120978832245,439.88421052631577,469.09,0.95,4
phi2_w32,3,50,-19.495252346051856,,,,2.8868149662017824,193.37113402061857,218.29,0.97,4
phi2_w32,3,100,-2.3763550363481043,,,,3.0473904200274533,23.98,23.98,1.0,4
phi2_w32,4,4,-123.20108587413095,,,,2.8366835927963256,279.3939393939394,286.84,0.99,4
phi2_w32,4,8,-56.726954538710416,,,,2.768633296489716,217.08,217.08,1.0,4
phi2_w32,4,16,-40.31817068282515,,,,2.635981299877167,223.51,223.51,1.0,4
phi2_w32,4,32,-22.131328437309712,,,,2.8121915674209594,143.59,143.59,1.0,4
phi2_w32,4,50,-10.159134896297473,,,,2.849887852668762,72.92,72.92,1.0,4
phi2_w32,4,100,-2.704026366113685,,,,3.0755258256738838,24.87,24.87,1.0,4
phi2_w32,5,4,-101.69360322065185,,,,2.5654821014404297,228.82,228.82,1.0,4
phi2_w32,5,8,-108.33664443030953,,,,4.363400228023529,248.36363636363637,512.08,0.66,4
phi2_w32,5,16,-116.89504608310759,,,,4.651542983055115,323.0,596.39,0.61,4
phi2_w32,5,32,-61.32883309753612,,,,3.1295696687698364,370.0813953488372,461.63,0.86,4
phi2_w32,5,50,-29.45907134912908,,,,3.04859591960907,242.08163265306123,257.72,0.98,4
phi2_w32,5,100,-6.036639532893896,,,,3.036788598455564,67.61,67.61,1.0,4
phi2_w64,1,4,-349.8326155351102,,,,11.453791246414184,,1024.0,0.0,4
phi2_w64,1,8,-296.0050742159598,,,,13.73493140220642,671.0,1009.88,0.04,4
phi2_w64,1,16,-83.28300021734088,,,,3.2132169675827025,388.3030303030303,394.66,0.99,4
phi2_w64,1,32,-19.66854503340088,,,,3.0458564281463625,122.17,122.17,1.0,4
phi2_w64,1,50,-8.631236706906929,,,,3.0050085377693176,63.69,63.69,1.0,4
phi2_w64,1,100,-2.6338982427399604,,,,2.992867616315683,24.52,24.52,1.0,4
phi2_w64,2,4,-192.60675419139676,,,,2.989372971057892,400.35714285714283,412.83,0.98,4
phi2_w64,2,8,-78.44265753224492,,,,2.6145522689819334,246.74747474747474,254.52,0.99,4
