variant,run,test_size,ep_reward,max_pairwise_distance,distance_to_com,ep_length,converged
embed_dim64,1,100,-17.863540643329422,2.2994794766108195,3.0584719042082624,72.5,1.0
embed_dim64,2,4,-4.70029147748525,2.67495098511378,1.5694116344035138,28.616666666666667,1.0
embed_dim64,2,8,-10.29070891031685,3.3950682799021403,2.9263583719419937,49.13333333333333,0.9833333333333333
embed_dim64,2,16,-9.404515383485705,2.373303286234538,2.369477554259356,89.31666666666666,0.9333333333333333
embed_dim64,2,32,-18.183420652647815,2.2871471921602886,4.390773642218361,230.36666666666667,0.65
embed_dim64,2,50,-35.394602697342634,2.4373170057932536,2.647854795386394,445.26666666666665,0.13333333333333333
embed_dim64,2,100,-64.50255827332536,2.4927135785420735,3.789941418943306,500.0,0.0
embed_dim64,3,4,-5.4682721946698924,2.6753699580828347,2.355911020655185,42.8,0.9666666666666667
embed_dim64,3,8,-7.516191901204487,2.62523254553477,2.915497518579165,39.483333333333334,1.0
embed_dim64,3,16,-9.251973255568494,2.6643093387285868,1.8026174855961774,50.516666666666666,1.0
embed_dim64,3,32,-10.755868866294623,2.281559749444326,1.3295908842158193,59.666666666666664,1.0
embed_dim64,3,50,-12.930177453905344,2.2571506261825562,1.8053510716507832,72.43333333333334,1.0
embed_dim64,3,100,-18.594004479795693,2.123118007183075,2.5748206921368837,87.86666666666666,1.0
embed_dim64,4,4,-5.531203189818188,2.8886471589406333,3.029435626510531,28.116666666666667,1.0
embed_dim64,4,8,-10.435683113103732,3.3739896098772686,3.8201268751174213,50.8,0.9833333333333333
embed_dim64,4,16,-8.802681504096835,2.525131177902222,1.9913662469324966,49.1,1.0
embed_dim64,4,32,-11.126661166734994,2.3733702540397643,1.7445263895438985,60.53333333333333,1.0
embed_dim64,4,50,-14.863836835324765,2.901968801021576,3.1600658834165274,74.51666666666667,0.9833333333333333
embed_dim64,4,100,-18.557008711248635,2.28941296339035,2.6945583000021673,82.36666666666666,1.0
embed_dim64,5,4,-5.434953005053103,2.9110450387001037,1.6416738106248279,28.566666666666666,1.0
embed_dim64,5,8,-19.382501835096626,6.253775028387706,3.31856271425883,91.43333333333334,0.9166666666666666
embed_dim64,5,16,-13.539457272582998,2.4681790630022684,1.425493263026389,146.4,0.8166666666666667
embed_dim64,5,32,-28.88833715741833,2.392730641365051,0.7644702076135824,395.3333333333333,0.2833333333333333
embed_dim64,5,50,-42.49212683600684,2.38486411968867,1.3716134273981055,491.23333333333335,0.05
embed_dim64,5,100,-70.90795681464175,2.4137158592542014,0.9528049804295103,500.0,0.0
embed_dim8,1,4,-5.724237136418621,2.834539743264516,3.857545003341511,29.6,1.0
embed_dim8,1,8,-9.07916027009487,2.4534050385157267,2.901411857867303,90.08333333333333,0.9
embed_dim8,1,16,-22.0232547173587,2.6799039522806805,1.5446361180433692,429.3333333333333,0.16666666666666666
embed_dim8,1,32,-33.74557452332228,2.742122781276703,2.187891152894978,492.75,0.016666666666666666
embed_dim8,1,50,-46.87414579428732,3.3679441531499226,2.5734517564016084,500.0,0.0
embed_dim8,1,100,-75.51919913689295,2.779516084988912,2.1233640675746526,500.0,0.0
embed_dim8,2,4,-5.695475052762776,2.7856486439704895,2.779556036104138,29.266666666666666,1.0
embed_dim8,2,8,-12.332645232742653,2.7315374970436097,0.9245394392715146,133.06666666666666,0.8666666666666667
embed_dim8,2,16,-19.981465755278865,2.781500693162282,2.115980954906748,365.0833333333333,0.43333333333333335
embed_dim8,2,32,-32.54015183417747,2.8582531213760376,1.857623208736186,482.5833333333333,0.06666666666666667
embed_dim8,2,50,-44.73020251734803,2.8995413819948834,1.3984844069009026,497.3833333333333,0.016666666666666666
embed_dim8,2,100,-74.25974387923877,2.9424350102742514,1.7900737489803382,500.0,0.0
embed_dim8,3,4,-5.592511118591452,2.861816676457723,3.051598612467448,28.8,1.0
embed_dim8,3,8,-28.049351186087975,7.33176748752594,4.333514900722851,125.58333333333333,0.8833333333333333
embed_dim8,3,16,-15.549220702735086,4.088704641660055,3.805853921128437,82.51666666666667,0.9666666666666667
embed_dim8,3,32,-16.628960234858095,4.190912143389384,1.5041752857524746,104.95,0.9666666666666667
embed_dim8,3,50,-25.87197232271234,5.620859622955322,2.8748339909861484,178.06666666666666,0.9333333333333333
embed_dim8,3,100,-60.5070457752794,2.8820826133092243,1.1147375724086692,417.3666666666667,0.38333333333333336
embed_dim8,4,4,-6.074139182424793,2.885418486595154,2.9932795783039183,32.36666666666667,1.0
embed_dim8,4,8,-9.727291106867293,2.6160767674446106,4.201660737263349,59.88333333333333,1.0
embed_dim8,4,16,-9.822684045663724,2.569449297587077,3.9670808045057737,63.983333333333334,1.0
embed_dim8,4,32,-12.11663824642698,2.547772149244944,3.25363896554918,81.25,1.0
embed_dim8,4,50,-14.552453112043441,2.6539286732673646,0.9080584939569235,92.98333333333333,1.0
embed_dim8,4,100,-23.912844176217913,2.749718753496806,3.015324016990761,125.91666666666667,1.0
embed_dim8,5,4,-6.088940807137018,2.8337374409039815,3.4184361222355317,31.116666666666667,1.0
embed_dim8,5,8,-11.442711515460784,3.370498204231262,1.5547947024150441,57.666666666666664,0.9833333333333333
embed_dim8,5,16,-9.498310736194252,2.4776453296343486,1.5443347547668964,57.15,1.0
embed_dim8,5,32,-12.158700023653607,2.5354435722033184,2.4616995887171167,78.35,1.0
embed_dim8,5,50,-15.241342013205092,2.542830034097036,1.0838966556067267,92.75,1.0
embed_dim8,5,100,-25.494107593844333,3.4464232842127482,3.586318490123687,130.55,0.9833333333333333
